movie_id,title,release_year,runtime_minutes,primary_genre,language,country,content_rating,is_short_film,budget_usd,marketing_budget_usd,director_score,cast_score,imdb_score,rating_category
REAL-1001,Nayakan,1987,145,Drama,Tamil,India,UA,0,1200000,300000,9.6,9.7,8.7,High
REAL-1002,Anbe Sivam,2003,160,Drama,Tamil,India,U,0,1500000,400000,9.4,9.5,8.6,High
REAL-1003,Jai Bhim,2021,164,Drama,Tamil,India,UA,0,5000000,1500000,9.2,9.1,8.8,High
REAL-1004,Vikram,2022,175,Action,Tamil,India,UA,0,18000000,6000000,9.1,9.3,8.3,High
REAL-1005,Ponniyin Selvan: Part I,2022,167,Action,Tamil,India,UA,0,60000000,15000000,9.3,9.0,7.6,High
REAL-1006,Super Deluxe,2019,176,Drama,Tamil,India,A,0,2000000,500000,9.2,8.8,8.3,High
REAL-1007,Soorarai Pottru,2020,153,Drama,Tamil,India,UA,0,3500000,1000000,8.9,9.1,8.7,High
REAL-1008,Visaranai,2015,106,Thriller,Tamil,India,A,0,400000,100000,9.0,8.5,8.5,High
REAL-1009,Pariyerum Perumal,2018,154,Drama,Tamil,India,UA,0,300000,80000,9.1,8.6,8.7,High
REAL-1010,Jigarthanda DoubleX,2023,172,Action,Tamil,India,UA,0,12000000,3500000,8.8,8.7,8.1,High
REAL-1011,Master,2021,179,Action,Tamil,India,UA,0,16000000,4500000,8.4,9.2,7.8,High
REAL-1012,Kaithi,2019,145,Action,Tamil,India,UA,0,3000000,800000,8.9,8.8,8.4,High
REAL-1013,Thalapathi,1991,157,Action,Tamil,India,UA,0,1800000,500000,9.5,9.6,8.5,High
REAL-1014,Baashha,1995,145,Action,Tamil,India,U,0,1500000,400000,9.2,9.7,8.2,High
REAL-1015,Enthiran,2010,165,Sci-Fi,Tamil,India,U,0,32000000,8000000,9.3,9.6,7.1,Medium
REAL-1016,Sivaji: The Boss,2007,185,Action,Tamil,India,U,0,15000000,4000000,9.0,9.5,7.5,High
REAL-1017,Ghajini,2005,175,Action,Tamil,India,UA,0,2500000,700000,8.8,8.9,7.5,High
REAL-1018,Roja,1992,137,Romance,Tamil,India,U,0,400000,100000,9.4,8.8,8.1,High
REAL-1019,Bombay,1995,141,Drama,Tamil,India,UA,0,600000,150000,9.4,8.9,8.1,High
REAL-1020,Vada Chennai,2018,164,Action,Tamil,India,A,0,8000000,2000000,9.2,9.1,8.4,High
REAL-1021,RRR,2022,187,Action,Telugu,India,PG-13,0,72000000,20000000,9.5,9.4,7.8,High
REAL-1022,Baahubali 2: The Conclusion,2017,167,Action,Telugu,India,UA,0,35000000,10000000,9.4,9.2,8.2,High
REAL-1023,Baahubali: The Beginning,2015,159,Action,Telugu,India,UA,0,25000000,7000000,9.3,9.0,8.0,High
REAL-1024,Pushpa: The Rise,2021,179,Action,Telugu,India,UA,0,24000000,6000000,8.5,9.2,7.6,High
REAL-1025,Sita Ramam,2022,163,Romance,Telugu,India,U,0,4000000,1200000,8.8,8.9,8.5,High
REAL-1026,Jersey,2019,157,Drama,Telugu,India,U,0,2500000,700000,8.7,8.9,8.5,High
REAL-1027,Mahanati,2018,177,Drama,Telugu,India,U,0,3000000,800000,8.9,9.1,8.4,High
REAL-1028,C/o Kancharapalem,2018,152,Drama,Telugu,India,UA,0,100000,30000,8.8,8.3,8.8,High
REAL-1029,Eega,2012,145,Fantasy,Telugu,India,UA,0,5000000,1500000,9.1,8.5,7.7,High
REAL-1030,Kalki 2898 AD,2024,180,Sci-Fi,Telugu,India,UA,0,75000000,25000000,8.9,9.1,7.6,High
REAL-1031,Magadheera,2009,166,Action,Telugu,India,UA,0,8000000,2000000,9.0,8.8,7.7,High
REAL-1032,Arjun Reddy,2017,182,Drama,Telugu,India,A,0,800000,200000,8.6,8.9,8.0,High
REAL-1033,Manjummel Boys,2024,135,Thriller,Malayalam,India,U,0,2500000,600000,9.0,8.8,8.6,High
REAL-1034,Aavesham,2024,158,Comedy,Malayalam,India,UA,0,3500000,900000,8.9,9.2,7.9,High
REAL-1035,Drishyam,2013,160,Thriller,Malayalam,India,U,0,700000,200000,9.2,9.3,8.3,High
REAL-1036,Kumbalangi Nights,2019,135,Drama,Malayalam,India,U,0,800000,250000,9.1,9.0,8.5,High
REAL-1037,Premam,2015,156,Romance,Malayalam,India,U,0,600000,150000,8.8,8.9,8.3,High
REAL-1038,The Great Indian Kitchen,2021,100,Drama,Malayalam,India,U,0,200000,50000,9.0,8.6,8.1,High
REAL-1039,Minnal Murali,2021,158,Action,Malayalam,India,UA,0,2000000,600000,8.6,8.5,7.8,High
REAL-1040,Bangalore Days,2014,171,Comedy,Malayalam,India,U,0,1200000,300000,8.8,8.9,8.3,High
REAL-1041,K.G.F: Chapter 2,2022,168,Action,Kannada,India,UA,0,13000000,4000000,9.1,9.3,8.3,High
REAL-1042,K.G.F: Chapter 1,2018,156,Action,Kannada,India,UA,0,10000000,3000000,8.9,9.1,8.2,High
REAL-1043,Kantara,2022,148,Action,Kannada,India,UA,0,2000000,800000,9.2,9.0,8.2,High
REAL-1044,777 Charlie,2022,164,Drama,Kannada,India,U,0,2500000,700000,8.9,8.8,8.7,High
REAL-1045,Lucia,2013,134,Sci-Fi,Kannada,India,U,0,100000,30000,8.8,8.2,8.2,High
REAL-1046,Dangal,2016,161,Drama,Hindi,India,PG-13,0,9800000,3000000,9.2,9.4,8.3,High
REAL-1047,3 Idiots,2009,170,Comedy,Hindi,India,PG-13,0,7000000,2000000,9.3,9.3,8.4,High
REAL-1048,Gangs of Wasseypur,2012,320,Action,Hindi,India,A,0,2500000,800000,9.4,9.1,8.2,High
REAL-1049,Tumbbad,2018,104,Horror,Hindi,India,A,0,700000,200000,9.1,8.4,8.2,High
REAL-1050,Andhadhun,2018,139,Thriller,Hindi,India,UA,0,4000000,1200000,9.0,8.9,8.2,High
REAL-1051,Sholay,1975,204,Action,Hindi,India,U,0,3000000,500000,9.5,9.6,8.1,High
REAL-1052,Lagaan,2001,224,Drama,Hindi,India,PG,0,5000000,1500000,9.3,9.2,8.1,High
REAL-1053,Swades,2004,210,Drama,Hindi,India,U,0,4000000,1000000,9.2,9.3,8.2,High
REAL-1054,Pather Panchali,1955,125,Drama,Bengali,India,U,0,30000,5000,9.8,9.0,8.5,High
REAL-1055,Sairat,2016,174,Romance,Marathi,India,UA,0,600000,150000,9.0,8.6,8.3,High
REAL-1056,Carry on Jatta,2012,142,Comedy,Punjabi,India,U,0,500000,100000,8.2,8.4,7.5,High
REAL-1057,Ahalya,2015,14,Thriller,Bengali,India,PG-13,1,15000,5000,8.5,8.7,7.6,High
REAL-1058,Chutney,2016,16,Drama,Hindi,India,PG-13,1,20000,6000,8.4,8.6,7.9,High
REAL-1059,Kriti,2016,18,Thriller,Hindi,India,PG-13,1,25000,7000,8.3,8.5,7.7,High
REAL-1060,Juice,2017,15,Drama,Hindi,India,PG,1,10000,3000,8.4,8.3,7.5,High
REAL-1061,The Shawshank Redemption,1994,142,Drama,English,USA,R,0,25000000,8000000,9.5,9.2,9.3,High
REAL-1062,The Godfather,1972,175,Drama,English,USA,R,0,6000000,2000000,9.8,9.6,9.2,High
REAL-1063,The Dark Knight,2008,152,Action,English,USA,PG-13,0,185000000,50000000,9.4,9.3,9.0,High
REAL-1064,Pulp Fiction,1994,154,Drama,English,USA,R,0,8500000,3000000,9.3,9.1,8.9,High
REAL-1065,Inception,2010,148,Sci-Fi,English,USA,PG-13,0,160000000,40000000,9.2,9.0,8.8,High
REAL-1066,Interstellar,2014,169,Sci-Fi,English,USA,PG-13,0,165000000,45000000,9.2,8.9,8.7,High
REAL-1067,Parasite,2019,132,Drama,Korean,South Korea,R,0,11400000,5000000,9.1,8.8,8.5,High
REAL-1068,Spirited Away,2001,125,Animation,Japanese,Japan,PG,0,19000000,5000000,9.3,8.5,8.6,High
REAL-1069,Whiplash,2014,106,Drama,English,USA,R,0,3300000,1000000,8.9,8.7,8.5,High
REAL-1070,Oppenheimer,2023,180,Drama,English,USA,R,0,100000000,35000000,9.4,9.1,8.9,High
REAL-1071,Everything Everywhere All at Once,2022,139,Sci-Fi,English,USA,R,0,25000000,8000000,8.8,8.6,7.8,High
REAL-1072,La La Land,2016,128,Romance,English,USA,PG-13,0,30000000,10000000,8.6,8.7,8.0,High
REAL-1073,Get Out,2017,104,Horror,English,USA,R,0,4500000,2000000,8.5,8.2,7.8,High
REAL-1074,Spider-Man: Into the Spider-Verse,2018,117,Animation,English,USA,PG,0,90000000,25000000,8.8,8.5,8.4,High
REAL-1075,Amélie,2001,122,Romance,French,France,R,0,10000000,3000000,8.6,8.2,8.3,High
REAL-1076,Pan's Labyrinth,2006,118,Drama,Spanish,Spain,R,0,19000000,5000000,8.8,8.3,8.2,High
REAL-1077,Oldboy,2003,120,Thriller,Korean,South Korea,R,0,3000000,1000000,8.9,8.6,8.4,High
REAL-1078,Stutterer,2015,12,Drama,English,UK,PG,1,15000,5000,8.3,8.0,7.7,High
